Вся температура измеряется в °C.

F:\X1\IR000591.IS2
Таблица поворачивается для подгонки по 256 столбцам.

	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	
1	25,04	25,04	24,94	25,13	24,99	25,04	24,99	25,04	25,04	24,90	24,90	24,90	24,85	24,85	24,94	24,90	24,90	24,76	24,62	24,48	24,48	24,48	24,43	24,20	23,64	23,41	23,55	23,64	23,87	23,97	24,15	24,43	24,39	24,15	23,97	24,20	24,43	24,48	24,43	24,43	24,34	24,48	24,53	24,25	22,84	21,70	21,51	21,36	21,17	20,88	20,84	21,17	20,93	20,64	20,50	20,25	20,06	19,82	20,06	19,96	20,21	20,55	20,88	22,03	24,15	25,18	25,27	25,27	25,18	25,13	25,13	25,13	24,99	25,13	25,18	25,27	25,27	25,22	25,04	25,04	24,99	24,90	24,94	25,31	25,41	25,18	24,99	24,94	24,99	24,99	24,99	24,99	25,04	25,13	25,18	25,13	25,18	25,18	25,22	25,22	25,31	25,31	25,22	25,22	25,04	24,99	25,27	25,41	25,18	24,94	24,90	24,71	24,67	24,76	24,85	25,04	25,13	25,13	24,99	24,90	24,71	24,71	24,85	24,85	24,76	24,85	24,99	24,99	24,85	24,76	24,90	25,22	25,31	25,41	25,18	24,90	24,85	24,90	24,90	24,94	24,85	24,76	24,76	24,90	24,90	24,94	24,90	24,99	25,18	25,41	25,22	25,13	25,18	25,22	24,99	24,94	24,85	24,71	24,67	24,53	24,39	24,39	24,39	24,39	24,43	24,53	24,76	24,67	24,53	24,67	24,67	24,71	24,53	24,39	24,48	24,53	24,43	24,43	24,48	24,62	24,71	24,76	24,85	25,04	25,13	25,13	25,13	25,04	25,04	25,18	25,22	25,18	25,18	25,18	25,13	24,99	25,18	25,13	24,99	24,94	24,85	24,85	24,90	24,85	24,76	24,85	24,85	24,62	24,43	24,39	24,15	24,25	24,06	23,12	20,93	18,54	17,40	16,95	16,90	16,90	16,95	16,95	16,85	16,80	16,80	16,75	16,75	16,55	16,24	15,74	14,97	14,41	14,10	13,89	13,84	13,63	13,53	13,48	13,53	13,53	
2	25,13	25,04	24,94	25,13	25,04	25,22	25,13	25,04	24,94	24,85	24,76	24,90	24,85	24,90	24,99	24,85	24,90	24,90	24,71	24,67	24,67	24,62	24,53	24,39	23,78	23,55	23,78	23,92	24,06	24,25	24,34	24,62	24,48	24,20	24,06	24,43	24,62	24,53	24,39	24,39	24,20	24,53	24,67	24,48	22,84	21,60	21,65	21,60	21,17	20,79	20,88	21,84	22,03	21,84	21,70	21,41	21,03	20,25	20,50	20,45	20,55	20,74	20,74	21,75	24,39	25,31	25,41	25,41	25,31	25,27	25,22	25,41	25,22	25,18	25,22	25,18	25,13	25,22	25,04	25,18	25,13	24,99	24,90	25,22	25,41	25,22	25,18	25,04	25,13	25,13	25,27	25,18	25,18	25,13	25,18	25,13	25,22	25,27	25,31	25,27	25,27	25,31	25,13	25,13	24,90	24,85	25,22	25,18	24,90	24,76	24,99	24,71	24,67	24,71	24,85	25,04	25,13	24,99	24,90	24,85	24,62	24,67	24,71	24,76	24,90	24,85	24,99	25,13	24,94	25,04	25,27	25,59	25,73	25,54	25,18	24,71	24,67	24,90	24,85	24,94	24,85	24,85	24,90	25,04	24,99	24,99	24,99	25,13	25,22	25,27	25,04	25,18	25,41	25,31	24,94	24,76	24,76	24,71	24,76	24,67	24,76	24,67	24,53	24,34	24,48	24,48	24,67	24,67	24,48	24,62	24,53	24,62	24,43	24,34	24,48	24,62	24,43	24,43	24,48	24,67	24,85	24,94	24,94	25,04	25,04	24,99	25,04	25,04	24,99	25,13	25,27	25,18	25,22	25,22	25,13	25,04	25,13	25,18	24,94	25,04	24,99	24,90	24,85	24,71	24,90	24,99	24,99	24,67	24,43	24,34	24,11	24,20	23,87	22,75	20,01	17,70	16,85	16,75	16,85	16,90	16,95	16,90	16,85	16,80	16,80	16,65	16,60	16,45	16,24	15,84	14,97	14,41	14,05	13,84	13,68	13,63	13,53	13,48	13,37	13,37	
3	25,04	25,13	25,04	25,22	25,18	25,18	25,13	24,94	24,76	24,76	24,94	24,94	24,99	25,04	25,22	25,13	24,99	24,76	24,67	24,53	24,48	24,43	24,43	24,06	23,55	23,41	23,78	23,83	24,15	24,15	24,20	24,34	24,39	24,20	24,06	24,39	24,48	24,39	24,34	24,39	24,39	24,53	24,67	24,43	22,84	21,46	21,51	21,36	21,08	20,64	21,12	22,60	23,36	23,17	23,12	23,08	22,27	20,93	20,93	20,79	20,84	20,59	20,30	21,46	24,25	25,31	25,45	25,41	25,27	25,27	25,45	25,54	25,31	24,94	25,04	25,04	25,13	25,18	25,04	24,99	25,22	25,22	25,18	25,22	25,27	25,18	25,22	25,13	25,18	25,22	25,31	25,27	25,22	25,27	25,31	25,22	25,27	25,18	25,22	25,27	25,22	25,18	24,99	24,99	24,99	24,99	25,13	24,90	24,48	24,67	24,85	24,76	24,76	24,76	24,85	24,94	24,85	24,76	24,85	24,85	24,67	24,71	24,76	24,94	25,04	24,85	24,94	25,13	24,99	25,04	25,27	25,45	25,41	25,27	25,04	24,76	24,85	24,71	24,71	24,71	24,94	24,94	25,13	25,22	24,99	25,04	25,13	25,31	25,22	25,13	24,99	25,22	25,45	25,31	24,90	24,76	24,71	24,71	24,76	24,85	25,04	24,94	24,48	24,43	24,48	24,53	24,62	24,67	24,62	24,48	24,43	24,39	24,39	24,34	24,53	24,39	24,39	24,43	24,67	24,67	24,85	24,94	24,94	25,04	24,99	24,99	25,04	24,99	24,99	25,04	25,22	25,27	25,27	25,18	25,22	25,13	25,22	25,04	24,85	24,90	24,90	24,90	24,90	24,85	25,04	25,13	25,04	24,71	24,48	24,34	24,15	23,97	23,50	22,03	19,18	17,20	16,75	16,60	16,75	16,80	16,85	16,75	16,65	16,60	16,60	16,55	16,50	16,50	16,19	15,69	14,82	14,36	14,10	13,84	13,68	13,53	13,37	13,32	13,32	13,48	
4	25,13	25,22	25,27	25,27	25,22	25,18	25,13	24,94	24,71	24,85	24,94	24,99	25,18	25,13	25,22	25,18	24,99	24,53	24,39	24,25	24,06	24,06	23,92	23,59	23,31	23,31	23,55	23,55	23,78	23,87	23,87	24,11	24,11	24,11	23,92	24,20	24,34	24,20	24,25	24,43	24,48	24,62	24,71	24,48	22,98	21,51	21,41	21,46	20,93	20,55	21,17	23,03	24,25	24,25	24,39	24,39	23,31	21,46	21,32	21,08	21,03	20,50	20,06	21,22	24,20	25,31	25,31	25,31	25,27	25,45	25,68	25,68	25,31	24,99	25,13	25,13	25,13	25,13	25,04	25,22	25,31	25,41	25,22	25,27	25,27	25,27	25,27	25,27	25,27	25,45	25,31	25,18	25,22	25,31	25,41	25,27	25,31	25,22	25,13	25,22	25,13	25,04	25,13	24,99	24,94	24,90	24,90	24,76	24,67	24,67	24,90	24,90	24,90	24,76	24,94	24,94	24,94	24,71	24,85	24,90	24,85	24,90	24,85	24,99	25,04	24,90	25,04	25,22	25,18	25,04	25,04	25,18	25,18	25,18	24,99	24,94	24,94	24,76	24,90	25,13	25,22	25,18	25,18	25,18	25,18	25,27	25,45	25,50	25,41	25,27	25,31	25,45	25,31	25,18	24,99	24,99	24,94	24,85	24,94	24,90	24,94	24,62	24,43	24,43	24,62	24,62	24,62	24,71	24,67	24,62	24,43	24,43	24,43	24,43	24,62	24,62	24,53	24,67	24,71	24,76	24,90	24,94	24,90	25,04	25,04	25,22	25,22	25,22	25,18	25,27	25,31	25,31	25,31	25,31	25,27	25,22	25,13	25,04	24,94	25,04	24,99	24,99	24,90	24,94	25,18	25,27	25,27	24,90	24,62	24,39	24,15	23,83	23,17	21,36	18,34	16,85	16,60	16,55	16,75	16,75	16,85	16,80	16,80	16,65	16,75	16,55	16,55	16,50	16,24	15,69	14,82	14,25	13,94	13,79	13,63	13,58	13,37	13,48	13,48	13,53	
5	25,22	25,31	25,22	25,13	25,13	24,94	24,99	24,94	24,90	24,90	24,94	24,90	25,18	25,18	25,18	25,13	24,67	24,20	24,06	24,11	23,92	23,92	23,59	23,17	22,89	23,12	23,17	23,17	23,69	23,64	23,87	23,83	23,78	23,64	23,78	23,87	24,11	23,97	24,15	24,34	24,25	24,39	24,62	24,43	23,03	21,46	21,32	21,12	20,55	20,01	20,88	23,17	24,71	24,85	24,94	24,99	23,64	21,51	21,32	21,03	20,93	20,45	20,01	21,32	24,11	25,22	25,22	25,41	25,27	25,31	25,45	25,22	24,99	24,90	24,90	24,94	24,94	24,94	25,13	25,31	25,50	25,41	25,31	25,27	25,27	25,22	25,22	25,22	25,31	25,41	25,18	25,04	25,18	25,27	25,27	25,13	25,27	25,22	25,13	25,18	24,94	24,94	24,99	25,04	24,94	24,90	24,85	24,71	24,71	24,62	24,85	24,85	24,76	24,71	24,85	24,71	24,90	24,76	24,85	24,85	24,90	24,85	24,85	25,13	25,04	24,94	24,99	25,13	25,18	24,99	24,94	24,99	25,13	25,04	24,99	24,99	25,13	24,90	25,18	25,31	25,50	25,31	25,41	25,22	25,22	25,41	25,41	25,45	25,22	25,18	25,22	25,45	25,27	25,18	24,99	24,90	24,71	24,76	25,04	24,99	24,94	24,48	24,39	24,48	24,76	24,71	24,67	24,76	24,76	24,71	24,67	24,43	24,48	24,53	24,67	24,53	24,62	24,62	24,76	24,85	24,94	24,90	24,94	25,04	25,18	25,22	25,27	25,31	25,31	25,41	25,41	25,27	25,41	25,41	25,45	25,22	25,18	24,99	24,94	24,99	25,04	25,13	25,04	25,04	25,18	25,18	25,04	24,85	24,53	24,34	23,97	23,64	22,84	20,45	17,80	16,75	16,55	16,45	16,60	16,80	16,80	16,75	16,75	16,50	16,60	16,55	16,45	16,29	15,99	15,43	14,77	14,25	13,89	13,58	13,53	13,53	13,48	13,48	13,53	13,58	
6	25,27	25,50	25,41	25,22	25,04	24,99	24,99	24,90	24,90	24,85	24,90	24,85	25,13	25,18	24,99	24,53	24,11	23,97	24,06	24,11	23,87	23,92	23,59	23,12	22,79	22,84	22,79	22,84	23,17	23,41	23,36	23,41	23,17	23,17	23,55	23,78	23,92	23,83	24,06	24,15	24,34	24,53	24,71	24,62	23,08	21,46	21,32	21,22	20,55	19,82	20,55	23,08	24,94	25,18	25,27	25,27	23,92	21,60	21,36	21,12	21,03	20,35	19,96	21,32	24,11	25,27	25,31	25,50	25,22	25,18	25,22	25,04	24,99	25,04	24,90	24,94	25,04	25,13	25,18	25,27	25,31	25,22	25,18	25,18	25,27	25,18	25,18	25,18	25,22	25,22	24,99	24,99	25,04	25,22	25,27	25,22	25,31	25,18	25,04	25,04	24,99	24,94	25,18	24,99	24,99	24,94	24,90	24,94	24,90	24,76	24,99	24,90	24,85	24,99	25,18	24,94	25,13	24,90	24,99	25,13	25,13	24,99	24,94	24,99	24,99	24,94	24,94	25,04	24,99	24,76	24,90	25,04	25,31	25,31	25,13	25,04	25,18	25,04	25,27	25,41	25,41	25,41	25,50	25,31	25,27	25,31	25,41	25,27	25,18	25,27	25,31	25,50	25,31	25,04	24,90	24,76	24,76	24,90	24,99	24,90	24,99	24,48	24,48	24,67	24,94	24,71	24,67	24,71	24,76	24,76	24,67	24,53	24,53	24,71	24,67	24,53	24,53	24,62	24,71	24,76	24,85	24,90	24,94	25,04	25,22	25,27	25,41	25,41	25,41	25,41	25,41	25,27	25,41	25,41	25,31	25,18	25,04	25,18	25,13	25,18	25,18	25,04	24,99	24,99	25,13	24,99	24,90	24,71	24,39	24,20	23,87	23,59	22,27	19,38	17,15	16,60	16,65	16,55	16,75	16,80	16,80	16,80	16,75	16,45	16,60	16,55	16,34	16,29	15,99	15,38	14,72	14,25	13,89	13,79	13,58	13,68	13,53	13,58	13,58	13,63	
7	25,41	25,54	25,41	25,13	24,85	24,94	24,90	24,90	24,85	24,76	24,85	24,76	24,90	24,94	24,71	24,20	23,87	23,97	24,15	24,39	24,25	24,15	23,78	23,31	22,60	22,75	22,60	22,70	22,89	23,03	23,17	23,08	23,03	22,98	23,36	23,59	23,69	23,69	23,97	24,06	24,25	24,53	24,76	24,67	23,12	21,36	21,17	21,08	20,50	19,82	20,35	22,84	24,99	25,22	25,31	25,22	23,83	21,46	21,17	21,08	20,88	20,21	19,91	21,17	23,87	25,18	25,31	25,41	25,18	25,13	25,04	24,94	24,94	25,18	24,90	24,90	24,99	25,22	25,13	25,22	25,22	24,99	24,99	24,94	25,04	25,13	25,22	25,27	25,18	24,94	24,99	25,13	25,18	25,22	25,18	25,22	25,22	25,04	25,04	24,99	24,99	25,13	25,13	24,99	24,99	24,90	24,90	24,90	24,99	24,94	25,13	25,04	25,04	25,18	25,31	25,04	25,18	24,94	25,13	25,13	25,22	25,13	25,04	25,04	25,13	24,99	25,04	25,22	25,13	24,99	25,04	25,22	25,31	25,22	25,04	25,13	25,13	24,99	25,13	25,27	25,27	25,27	25,41	25,18	25,13	25,41	25,50	25,31	25,31	25,45	25,41	25,50	25,41	25,04	24,76	24,67	24,53	24,76	24,90	25,13	25,13	24,53	24,53	24,76	25,13	24,76	24,67	24,76	24,67	24,71	24,76	24,67	24,62	24,71	24,62	24,67	24,85	24,85	24,76	24,71	24,85	24,90	24,94	24,94	25,13	25,27	25,41	25,41	25,22	25,27	25,27	25,22	25,31	25,31	25,41	25,18	25,13	25,22	25,13	25,22	25,13	24,94	24,90	24,94	24,90	24,85	24,90	24,85	24,43	24,11	23,87	23,36	21,46	18,39	16,65	16,45	16,55	16,55	16,60	16,65	16,65	16,65	16,55	16,45	16,55	16,50	16,29	16,24	15,99	15,43	14,77	14,20	13,94	13,89	13,84	13,68	13,63	13,63	13,79	13,79	
8	25,50	25,59	25,31	24,94	24,71	24,85	24,85	24,85	24,76	24,76	24,94	24,90	24,90	24,85	24,67	24,34	24,25	24,20	24,25	24,62	24,53	24,39	24,06	23,41	22,79	22,60	22,60	22,56	22,70	22,98	23,03	22,98	22,98	23,03	23,41	23,64	23,69	23,83	24,06	24,15	24,25	24,48	24,67	24,67	23,17	21,41	21,12	21,17	20,59	20,06	20,64	22,98	25,13	25,27	25,41	25,31	23,97	21,60	21,17	21,08	20,79	20,21	19,82	21,03	23,87	25,41	25,45	25,31	25,04	25,13	25,04	24,99	25,04	25,18	24,99	24,99	25,18	25,27	25,18	25,18	25,13	24,99	25,04	24,94	24,99	24,99	25,22	25,27	25,13	25,04	25,04	25,22	25,22	25,31	25,31	25,31	25,13	25,04	24,99	24,99	25,13	25,22	25,13	24,94	25,04	24,90	24,85	24,94	25,04	25,04	25,13	25,18	25,18	25,41	25,31	25,13	25,13	25,13	25,27	25,18	25,04	24,94	25,04	25,04	25,18	24,90	25,13	25,31	25,22	25,04	25,04	25,31	25,31	25,18	25,04	25,13	25,04	24,99	25,13	25,18	25,13	25,04	25,04	24,99	25,13	25,31	25,45	25,31	25,45	25,50	25,27	25,31	25,31	24,94	24,71	24,71	24,67	24,90	24,99	25,22	25,04	24,62	24,76	24,99	25,18	24,76	24,90	24,85	24,71	24,53	24,71	24,67	24,71	24,71	24,67	24,71	24,99	24,99	24,94	24,90	24,94	24,94	24,90	24,90	25,13	25,22	25,45	25,41	25,27	25,22	25,45	25,31	25,54	25,41	25,22	25,13	25,18	25,27	25,18	25,22	25,13	24,94	24,90	24,85	24,76	24,71	24,94	24,90	24,43	24,11	23,78	22,98	20,30	17,70	16,50	16,45	16,50	16,50	16,55	16,65	16,65	16,55	16,34	16,45	16,45	16,50	16,34	16,24	15,94	15,38	14,56	14,10	13,89	13,89	13,84	13,79	13,63	13,68	13,79	13,79	
9	25,59	25,73	25,41	24,94	24,62	24,71	24,76	24,90	24,67	24,67	24,85	24,85	24,85	24,85	24,53	24,25	24,20	24,15	24,34	24,62	24,53	24,34	23,97	23,41	22,84	22,89	22,75	22,56	22,60	22,84	22,98	22,79	22,89	23,03	23,50	23,92	24,06	24,11	24,25	24,34	24,43	24,62	24,85	24,67	23,26	21,41	21,08	21,12	20,74	20,21	20,74	22,98	25,18	25,41	25,50	25,50	24,15	21,65	21,17	21,08	20,88	20,30	19,82	20,55	23,55	25,22	25,31	25,22	25,13	25,13	25,04	24,94	24,94	25,13	24,94	25,04	25,18	25,22	25,13	25,22	25,18	25,13	25,22	25,04	25,13	25,27	25,31	25,31	25,22	25,22	25,22	25,41	25,27	25,31	25,41	25,31	25,18	25,13	24,99	25,04	25,18	25,31	25,13	24,90	24,99	24,76	24,90	24,99	25,13	25,18	25,22	25,18	25,31	25,31	25,13	24,99	25,04	25,27	25,22	25,04	24,99	24,94	25,13	25,18	25,13	24,76	25,13	25,18	25,18	24,99	24,99	25,27	25,22	25,13	25,04	25,04	24,90	24,94	25,13	25,18	25,18	24,94	24,99	25,04	25,13	25,13	25,18	25,18	25,41	25,22	25,22	25,31	25,59	25,13	24,90	24,90	24,85	24,94	25,13	25,18	24,67	24,62	24,76	25,18	25,13	24,76	24,76	24,90	24,67	24,76	24,85	24,76	24,71	24,67	24,71	24,90	25,22	25,18	24,99	24,94	24,90	25,04	25,13	25,13	25,22	25,13	25,27	25,31	25,22	25,22	25,31	25,31	25,45	25,31	25,18	25,18	25,27	25,22	25,18	25,22	25,13	24,94	24,90	24,90	24,76	24,85	25,04	24,94	24,39	23,97	23,55	22,22	19,18	17,10	16,50	16,50	16,50	16,50	16,45	16,55	16,34	16,45	16,29	16,45	16,45	16,50	16,50	16,45	16,04	15,43	14,51	13,94	13,68	13,68	13,63	13,63	13,68	13,53	13,53	13,53	
10	25,31	25,27	25,18	24,90	24,67	24,67	24,76	24,90	24,67	24,62	24,67	24,71	24,85	24,76	24,48	24,39	24,34	24,43	24,53	24,85	24,62	24,20	24,15	23,50	23,03	22,89	22,84	22,60	22,75	22,84	22,89	22,89	23,12	23,12	23,64	24,11	24,20	24,20	24,25	24,48	24,67	24,76	24,94	24,67	23,31	21,41	21,08	21,12	20,84	20,11	20,55	22,84	25,22	25,45	25,45	25,45	24,15	21,65	21,17	21,03	20,84	20,25	19,52	20,06	23,31	25,22	25,31	25,27	25,13	25,18	25,04	24,94	24,94	25,04	24,94	25,13	25,22	25,22	25,13	25,18	25,13	25,22	25,27	25,18	25,22	25,41	25,41	25,31	25,22	25,18	25,13	25,31	25,13	25,04	25,27	25,18	25,13	25,22	25,13	25,31	25,27	25,22	24,94	24,76	24,85	24,76	24,94	25,13	25,13	25,13	24,99	25,04	25,18	25,27	24,85	24,85	25,04	25,27	25,13	25,04	24,94	24,99	25,18	25,27	25,04	24,94	25,18	25,04	25,04	24,94	24,99	25,18	24,94	24,99	25,04	25,04	24,94	25,04	25,18	25,04	25,18	24,99	25,04	25,04	24,94	24,90	25,04	25,27	25,22	25,04	25,04	25,41	25,68	25,18	24,85	24,71	24,76	24,90	24,99	24,99	24,71	24,76	24,90	25,04	24,90	24,76	24,94	24,76	24,62	24,76	24,94	24,71	24,71	24,76	24,76	24,94	25,18	25,18	25,04	25,13	25,04	25,13	25,04	25,13	25,22	24,99	25,13	25,18	25,22	25,22	25,31	25,22	25,41	25,27	25,22	25,27	25,41	25,31	25,22	25,18	25,04	24,94	24,76	24,76	24,71	24,90	24,94	24,67	24,11	23,69	23,08	21,17	18,05	16,75	16,45	16,55	16,55	16,55	16,45	16,50	16,45	16,55	16,29	16,29	16,24	16,34	16,34	16,29	15,94	15,18	14,15	13,63	13,48	13,48	13,48	13,37	13,37	13,22	13,22	13,27	
